Company Name,Address,City,State,Contact Person,Phone No,Mob No,Service Detail,Supplier or Booking,LCV or HCV,Email Id,Website,Vehicle Type,Segment
Aakash Deep Freight Carrier,"263, Kamla Market, New Delhi",Delhi,Delhi,Kapil Dhingra,011 - 2*2*1*1*,9*71*44799,Daily All Over U.P. ( Spl : Ghaziabad. & Noida ),Booking,"HCV, LCV",**k**hdeepfreightc*rrier1958@gm*il.com,,"Container,  1109, 407, 709, Bolero",Parcel Service
Aakash Road Carriers / Aakash Packers & Movers,"A-1, Shyam Enclave, 7th Mile Stone, Opp. Giani Gurudwara",Delhi,Delhi,Ved Prakash Tiwari,,"9*6**7**10,  9*124*6006 ,  9*60**7266","Daily Services For : Rajasthan, Gujarat, Haryana","Supplier, Booking","HCV, LCV",**k**hp*cker*mover*@gm*il.com; tiw*rivedpr*k**h08@gm*il.com,,"10 Wheeler,  12 Wheeler","Industrial Goods,  Steel,  House Hold Goods"
Aakash Tempo Service,"2nd Floor, Madangir, New Delhi",Delhi,Delhi,"Krishan, Vinod",,"9*10644622,  9*106446**","Delhi, U.P., Haryana, Punjab",Supplier,LCV,,,"4 Wheeler,  6 Wheeler",Parcel Services
Aar-Tee Transport Company Pvt. Ltd.,"5810, Gali No.8, Block 4, 3rd Floor, Dev Nagar, Karol Bagh, New Delhi-05",Delhi,Delhi,Rakumar Shrama,"011 - 2*74**91,  2**26***",9*124**796,Full & Part Load Booking For All Over India,Booking,"HCV, LCV",,,"Trailer,  Container,  10 Wheeler,  12 Wheeler","Industrial Goods,  Machinery"
Aarti Motor & Tempo Transport.,"M-22A, Sham Nagar , P.O., Tilak Nagar, New Delhi-1.",Delhi,Delhi,Dinesh Mehta,,"92116**402,  9*101**129","All Over India And Special For : Bangalore, Chennai",Supplier,LCV,,,"1109,  407 Ton",All Type Material
Aarya Transport Corporation (R),"18, Apsara Complex, U.P. Border, P.O. Chikamberpur, Ghaziabad, (U.P.)-201006",Delhi,Delhi,R. N. Sharma,"0120 - 4126070,  2624022","9*1*746070,  9971964217,  99**421060,  9*1*746207","Supplier For : Chennai, Banglore, Pondicherry, Cochin, All Over South India And Booking For All Over India","Supplier, Booking","HCV, LCV",**ry*tr*n*port_20088@y*hoo.com,,"Trailer,  Container",All Type Material
ABC INDIA LIMITED,"BG-130, Sanjay Gandhi Transport Nagar, Delhi",Delhi,Delhi,"Rahul Singh, Ranjeet Singh","011 - 27***97*,  27**244*","9*11269**6,  9*10961010","Daily Parcel Service Assam , Bhutan, Manipur, Mizoram, Nagaland & Sikkim, All Over India",Booking,"HCV, LCV",r*njeet.beniw*l@*bcindi*.com,www.abcindia.com,"Trailer,  Container,  10 Wheeler,  12 Wheeler","Industrial Goods,  Machinery,  Heavy"
ABC LOGISTICS,"25, Rani Jhansi Road, 3rd Floor, Motia khan, N. Delhi",Delhi,Delhi,Tanmit Singh,011 - *2946600,"9*12220970,  9*1*1229*2",Full Truck Load Available For All Over India,"Supplier, Booking","HCV, LCV",*bclogi*ticpune@y*hoo.in,,"Trailer,  Container,  10 Wheeler,  12 Wheeler",Industrial Goods
ABC Roadways,"9524, Gali No. 13, Multani Dhanda, Paharganj",Delhi,Delhi,"Sunil, Sikander","011 - 2*6222*2,  2*6222*6,  2*62766*,  2*6222**",9*1**122*2,"All Over Rajkot, Mumbai, Pune",Booking,HCV,k*u*tubh.BR*TU1987@gm*il.com,,"10 Wheeler,  12 Wheeler","Industrial Goods,  Food,  Export Goods"
Abhishek Freight Carrier (R),"31-X/17, Gali No.2, Main New Rohtak Road, Anand Parvat Industrial Area, New Delhi-5",Delhi,Delhi,"Sandeep Sharma, R. V. Sharma, T .P. Sharma","011 - 2*76**61,  2*761*62","9*11*09*44,  9*101*674*,  9*10*4422*","Supplier For Dehradun, Haldwani, Uttranchal ,U.P. And Booking For All Over India","Supplier, Booking","HCV, LCV",*bhi*hekfc*rrier@gm*il.com,,"Trailer,  Container,  10 Wheeler,  12 Wheeler","Industrial Goods,  Commercial Products"
Abhishek Good Carrier (Regd.),"F-24, Dwarka Puri, Naveen Shahdara, Delhi-110032",Delhi,Delhi,R.B. Singh,"011 - 22*211**,  22*2194*","9*10224662,  9*71*02*9*,  **261**7*1","Daily Service : Agra, Gwalior, Indore, Bhopal, & All Over M.P And All Over India","Supplier, Booking",LCV,,,"1109,  407 Ton",Industrial Goods
Abhishek Roadlines,"Near Apsara Complex, Gali No.2, P.O. Chikamberpur, Ghaziabad",Delhi,Delhi,Vinod Kumar,0120 - 2622741,"9*119****6 ,  9*119****6",All Over India,Booking,HCV,,,,
Vansh Roadlines,"6 Mile Stone U.P.- Border, Ghaziabad",Delhi,Delhi,Rakesh,,"9*116*4*6*,  9*116*4**7","Truck Available For Haryana, Rajasthan , Punjab",Booking,HCV,,,,
Abohar Bhadra Road Carrier,"Shop No-03, Alipur, New Delhi -36",Delhi,Delhi,Bajrang Singh,011 - 272011*4,9*109711*4,"Full Truck Available All Over Haryana, Punjab, Rajasthan",Supplier,HCV,,,"10 Wheeler,  12 Wheeler",All Type Material
Abohar Bhadra Roadways,"B.G. 260, Sanjay Gandhi, Transport Nagar, Delhi -42",Delhi,Delhi,Pritam Singh,"011 - 27**6*62,  4*7*11*4","9*10***277,  9*102**277","Haryana, Punjab, Himachal, J & K , Rajasthan ,U.P., M.P., Gujarat , Maharashtra",Supplier,LCV,,,"1109,  407 Ton",All Type Material
ABS (South) Transport Co.,"7483, Bansal Apartment, Tel Mill Marg, Pahadganj, Delhi",Delhi,Delhi,Amir Chand,"011 - 2**4*7**,  2*620694",9*1*4***94,"All Over India, Specialist In Household And Andmar & Nikobar","Supplier, Booking","HCV, LCV",,,"Trailer,  Container,  ODC Cargo,  10 Wheeler,  12 Wheeler","Industrial Goods,  House Hold Goods,  Car"
AC Goods Transport Pvt. Ltd.,"22 Gali No.1, Chunna Mandi, Pahadgunj, New Delhi - 55",Delhi,Delhi,C.R. Kaushik,011 - 2****009,9*11972101,All Over India,Booking,"HCV, LCV",,,Trailer,All Type Material
ACM Roadways India (R),"A-1/1507-8, New Subzi Mandi, Azadpur, Delhi-33",Delhi,Delhi,Mr.Rakesh Mehta,011 - 27**1729,9*11****41,"Full Truck For U.P, Bihar, Bengal, Orissa, Assam Cg","Supplier, Booking",HCV,,,"Truck,  10 Wheeler,  6 Wheeler",All Type Material
Adarsh Roadlines. Pvt. Ltd.,"Room No. 512, Agarwal Cyber Plaza 1, Netaji Subhash Place, Pritampura, New Delhi -34",Delhi,Delhi,"Neeraj Tripathi, S.N. Sharma",,"96*01*4760,  96*01*4760",All Over India,Booking,"HCV, LCV",delhi@*d*r*hrpl.com,www.adarshroadlines.com,"Trailer,  Container,  10 Wheeler,  12 Wheeler",Contract With Company
Adhunik Freight Carriers Pvt. Ltd.,"M-154 , Gali No. 11, Shastri Nagar, Delhi - 52",Delhi,Delhi,"Sajjan Sharma , J. M. Kaushik , Dharmbir Sharma","011 - *2*22499 ,  2*640910","9*1267*4*9 ,  9*124*2212","Full Truck Load Accepted For All Over India, Special For Calcutta & Bangladesh",Booking,"HCV, LCV",*dhunikdlh@gm*il.com,,"Container,  10 Wheeler,  6 Wheleers",All Type Material
